,Category,Message
155,0,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
156,0,aaooooright are you at work
157,0,im leaving my house now
158,0,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me
159,1,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery
160,1,you are a winner u have been specially selected receive £ cash or a holiday flights inc speak to a live operator claim
161,0,keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life
162,0,new car and house for my parentsi have only new job in hand
163,0,im so in love with you im excited each day i spend with you you make me so happy
164,1,pls stop bootydelious f is inviting you to be her friend reply yes or no see her stop send stop frnd to
165,1,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
166,0,i place all ur points on e cultures module already
167,1,urgent we are trying to contact you last weekends draw shows that you have won a £ prize guaranteed call claim code s valid hrs only
168,0,hi frnd which is best way to avoid missunderstding wit our beloved ones
169,0,great escape i fancy the bridge but needs her lager see you tomo
170,0,yes it completely in out of formclark also utter waste
171,0,sir i need axis bank account no and bank address
172,0,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao
173,0,what time you coming down later
174,0,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m
175,0,well im gonna finish my bath now have a goodfine night
176,0,let me know when youve got the money so carlos can make the call
177,0,u still going to the mall
178,0,turns out my friends are staying for the whole show and wont be back til ltgt so feel free to go ahead and smoke that ltgt worth
179,0,text her if she doesnt reply let me know so i can have her log in
180,0,hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no
181,0,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend
182,0,lol no u can trust me
183,0,ok i am a gentleman and will treat you with dignity and respect
184,0,he will you guys close
185,0,going on nothing greatbye
186,0,hello handsome are you finding that job not being lazy working towards getting back that net for mummy wheres my boytoy now does he miss me
187,0,haha awesome be there in a minute
188,1,please call our customer service representative on freephone between ampm as you have won a guaranteed £ cash or £ prize
189,0,have you got xmas radio times if not i will get it now
190,0,i jus reached home i go bathe first but my sis using net tell u when she finishes k
191,1,are you unique enough find out from th august
192,0,im sorry ive joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week
193,0,hi finally i completed the course
194,0,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool
195,0,how are you doing hope youve settled in for the new school year just wishin you a gr day
196,0,gud mrng dear hav a nice day
197,0,did u got that persons story
198,0,is your hamster dead hey so tmr i meet you at pm orchard mrt
199,0,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx
200,0,found it enc ltgt where you at
201,0,i sent you ltgt bucks
202,0,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
203,0,your account has been refilled successfully by inr ltdecimalgt your keralacircle prepaid account balance is rs ltdecimalgt your transaction id is kr ltgt
204,0,goodmorning sleeping ga
205,0,u call me alter at ok
206,0,ü say until like dat i dun buy ericsson oso cannot oredi lar
207,0,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
208,0,aight yo dats straight dogg
209,0,you please give us connection today itself before ltdecimalgt or refund the bill
210,0,both i shoot big loads so get ready
211,0,whats up bruv hope you had a great break do have a rewarding semester
212,0,home so we can always chat
213,0,kkgoodstudy well
214,0,yup how ü noe leh
215,0,sounds great are you home now
216,0,finally the match heading towards draw as your prediction
217,0,tired i havent slept well the past few nights
218,0,easy ahsen got selected means its good
219,0,i have to take exam with march
220,0,yeah you should i think you can use your gt atm now to register not sure but if theres anyway i can help let me know but when you do be sure you are ready
221,0,ok no prob take ur time
222,0,there is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop
223,0,sorry ill call later
224,0,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh
225,1,new mobiles from must go txt nokia to no collect yours todayfrom only £ optout gbpmtmsg
226,0,would really appreciate if you call me just need someone to talk to
227,1,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo followed by ur star sign e g horo aries
228,0,hey company elama po mudyadhu
229,0,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning
230,0,dear good morning now only i am up
231,0,get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right
232,0,dear we are going to our rubber place
233,0,sorry battery died yeah im here
234,0,yeshere tv is always available in work place
235,1,text meet someone sexy today u can find a date or even flirt its up to u join just p reply with name age eg sam msg pence
236,0,i have printed it oh so ltgt come upstairs
237,0,or ill be a little closer like at the bus stop on the same street
238,0,where are youwhen wil you reach here
239,0,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say im always correct
240,1,u have a secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on
241,0,tomarrow final hearing on my laptop case so i cant
242,0,pleassssssseeeeee tel me v avent done sportsx
243,0,okay no no just shining on that was meant to be signing but that sounds better
244,0,although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u thanx everything dat uve done today im touched
245,0,u dont remember that old commercial
246,0,too late i said i have the website i didnt i have or dont have the slippers
247,0,i asked you to call him now ok
248,0,kallis wont bat in nd innings
249,0,it didnt work again oh ok goodnight then ill fix and have it ready by the time you wake up you are very dearly missed have a good night sleep
250,1,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs
251,0,ranjith cal drpd deeraj and deepak min hold
252,0,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
253,0,what you doinghow are you
254,0,ups which is days also and the shipping company that takes wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff
255,0,im back lemme know when youre ready
256,0,dont necessarily expect it to be done before you get back though because im just now headin out
257,0,mmm so yummy babe nice jolt to the suzy
258,0,where are you lover i need you
259,1,we tried to contact you re your reply to our offer of a video handset anytime networks mins unlimited text camcorder reply or call now
260,0,i‘m parked next to a mini when are you coming in today do you think
261,0,yup
262,0,anyway im going shopping on my own now cos my sis not done yet dun disturb u liao
263,0,my no in luton ring me if ur around h
264,1,hey i am really horny want to chat or see me naked text hot to text charged at pm to unsubscribe text stop
265,0,why you dint come with us
266,0,same wana plan a trip sometme then
267,0,not sure yet still trying to get a hold of him
268,1,ur ringtone service has changed free credits go to clubmobilescom to choose content now stop txt club stop to pwk club po box mk wt
269,0,the evo i just had to download flash jealous
270,1,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
271,0,come to mu were sorting out our narcotics situation
272,0,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay
273,1,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more info
274,0,usf i guess might as well take car
275,0,no objection my bf not coming
276,0,thanx
277,0,tell rob to mack his gf in the theater
278,0,awesome ill see you in a bit
279,0,just sent it so what type of food do you like
280,0,all done all handed in celebrations in full swing yet
281,0,you got called a tool
282,0,wen u miss someone the person is definitely special for u but if the person is so special why to miss them just keepintouch gdeve
283,0,ok i asked for money how far
284,0,okie
285,0,yeah i think my usual guys still passed out from last night if you get ahold of anybody let me know and ill throw down
286,0,k i might come by tonight then if my class lets out early
287,0,ok
288,0,hi baby im cruisin with my girl friend what r u up give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
289,0,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
290,0,dearshall mail tonitebusy in the streetshall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut a good one in real sense
291,0,hey you told your name to gautham ah
292,0,haf u found him i feel so stupid da v cam was working
293,0,oops got that bit
294,0,are you this much buzy
295,0,i accidentally deleted the message resend please
296,1,tmobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on offer ends thfebtcs apply
297,0,unless its a situation where you go gurl would be more appropriate
298,0,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
299,0,i cant pick the phone right now pls send a message
300,0,need a coffee run tomocant believe its that time of week already
301,0,awesome i remember the last time we got somebody high for the first time with diesel v
302,0,shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi
303,0,oh and by the way you do have more food in your fridge want to go out for a meal tonight
304,0,he is a womdarfull actor
305,1,sms ac blind date u rodds is m from aberdeen united kingdom check him out sms acwicmbcktzr no blind dates send hide
306,0,yup from what i remb i think should be can book
307,0,jos ask if u wana meet up
308,0,lol yes our friendship is hanging on a thread cause u wont buy stuff
309,1,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to
310,0,where are the garage keys they arent on the bookshelf
311,0,today is accept dayu accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
312,1,think ur smart win £ this week in our weekly quiz text play to nowtcs winnersclub po box m uz gbpweek
313,0,he says hell give me a call when his friends got the money but that hes definitely buying before the end of the week
314,0,hi the way i was with u day is the normal waythis is the real me ur uniquei hope i know u the rest of mylife hope u find wot was lost
315,0,you made my day do have a great day too
316,0,kkadvance happy pongal
317,0,hmmm guess we can go kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao
318,0,not really dude have no friends im afraid
319,1,december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on
320,0,coffee cake i guess
321,0,merry christmas to you too babe i love ya kisses
322,0,hey why dont we just go watch x men and have lunch haha
323,0,cud u tell ppl im gona b a bit l cos buses hav gon past cos they were full im still waitin pete x
324,0,that would be great well be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week
325,0,no problem how are you doing
326,0,no callsmessagesmissed calls
327,0,hi dahow is the todays class
328,0,id say thats a good sign but well you know my track record at reading women
329,0,cool text me when youre parked
330,0,im reading the text i just sent you its meant to be a joke so read it in that light
331,0,kkapo kgood movie
332,0,maybe i could get book out tomo then return it immediately or something
333,1,call germany for only pence per minute call from a fixed line via access number no prepayment direct access
334,0,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork not cool at all please do not contact me again or i will report you to your supervisor
335,1,valentines day special win over £ in our quiz and take your partner on the trip of a lifetime send go to now pmsg rcvd custcare
336,0,tadaaaaa i am home babe are you still up
337,0,cool so how come you havent been wined and dined before
338,0,just sleepingand surfing
339,0,sorry ill call later
340,0,u calling me right call my hand phone
341,0,ok thats great thanx a lot
342,0,i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him
343,0,where u been hiding stranger
344,0,am not interested to do like that
345,0,my sister cleared two round in birla soft yesterday
346,0,gudnitetcpractice going on
347,0,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num
348,0,one small prestige problem now
349,1,fancy a shag i dointerested sextextukcom txt xxuk suzy to txts cost per msg tncs on website x
350,0,just checking in on you really do miss seeing jeremiah do have a great month
351,0,nah cant help you there ive never had an iphone
352,0,if youre not in my car in an hour and a half im going apeshit
353,0,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault im basically good
354,0,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed
355,0,ltgt ish minutes was minutes ago wtf
356,0,thank you for callingforgot to say happy onam to you sirjii am fine here and remembered you when i met an insurance personmeet you in qatar insha allahrakhesh ex tata aig who joined tisscotayseer
357,1,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs
358,1,ur cashbalance is currently pounds to maximize ur cashin now send cash to only pmsg cc hgsuitelands rowwjhl
359,0,im an actor when i work i work in the evening and sleep late since im unemployed at the moment i always sleep late when youre unemployed every day is saturday
360,0,hello just got here st andrewsboy its a long way its cold i will keep you posted
361,0,ha ha cool cool chikku chikkudb
362,0,oh ok no prob
363,0,check audreys status right now
364,0,busy here trying to finish for new year i am looking forward to finally meeting you
365,0,good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always
366,0,well i know z will take care of me so no worries
367,1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt on orange call mobileupd on or calloptoutfq
368,1,here is your discount code rp to stop further messages reply stop customer services
369,0,wat uniform in where get
370,0,cool text me when youre ready
371,0,hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you
372,0,i will spoil you in bed as well
373,0,im going for bath will msg you next ltgt min
374,0,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay
375,1,thanks for your ringtone order reference t you will be charged gbp per week you can unsubscribe at anytime by calling customer services on
376,0,can you say what happen
377,0,you could have seen mei didt recognise you face
378,0,well theres not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going
379,0,keep my payasam there if rinu brings
380,0,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me
381,0,i guess thats why you re worried you must know that theres a way the body repairs itself and im quite sure you shouldnt worry well take it slow first the tests they will guide when your ovulation is then just relax nothing youve said is a reason to worry but ill keep on followin you up
382,0,yeah sure give me a couple minutes to track down my wallet
383,0,hey leave it not a big deal take care
384,0,hey i will be late ah meet you at
385,1,double mins and txts months free bluetooth on orange available on sony nokia motorola phones call mobileupd on or calloptoutndx
386,0,it took mr owl licks
387,0,customer place i will call you
388,0,mm that time you dont like fun
389,1,mths half price orange line rental latest camera phones free had your phone mths call mobilesdirect free on to update now orstoptxt
390,0,yup having my lunch buffet now u eat already
391,0,huh so late fr dinner
392,0,hey so this sat are we going for the intro pilates only or the kickboxing too
393,0,morning only i can ok
394,0,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down
395,0,pick you up bout ish what time are and that going
396,0,from here after the performance award is calculated every two monthnot for current one month period
397,0,was actually sleeping and still might when u call back so a text is gr you rock sis will send u a text wen i wake
398,0,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people ive ever met why would i think a picture of your room would hurt you make you feel violated
399,0,good evening sir al salam wahleykkumsharing a happy newsby the grace of god i got an offer from tayseertissco and i joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from india
400,0,hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator
401,1,free ringtone text first to for a poly or text get to for a true tone help after st free tones are x£pw to e£nd txt stop
402,0,dear how is chechi did you talk to her
403,0,the hair cream has not been shipped
404,0,none of thats happening til you get here though
405,0,yep the great loxahatchee xmas tree burning of ltgt starts in an hour
406,0,haha get used to driving to usf man i know a lot of stoners
407,0,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as cant stay late tomorrow same time place as always
408,0,hello good week fancy a drink or something later
409,0,headin towards busetop
410,0,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom
411,0,come by our room at some point so we can iron out the plan for this weekend
412,0,cos i want it to be your thing
413,0,okies ill go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah
414,0,bring home some wendy d
415,1,dating service call boxskch
416,0,whatsup there dont u want to sleep
417,0,alright i have a new goal now
418,1,free entry into our £ weekly competition just text the word win to now tc
419,0,alright ill head out in a few minutes text me where to meet you
420,1,send a logo ur lover names joined by a heart txt love name name mobno eg love adam eve to yahoo poboxwwq txtno no ads p
421,0,yesfrom last week itself im taking live call
422,1,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline poboxntfp
423,0,siva is in hostel aha
424,1,urgent your mobile number has been awarded with a £ prize guaranteed call from land line claim valid hrs only
425,0,send this to ur friends and receive something about ur voice how is my speaking expression childish naughty sentiment rowdy ful of attitude romantic shy attractive funny ltgt irritating ltgt lovable reply me
426,0,ok shell be ok i guess
427,0,aathiwhere are you dear
428,0,any pain on urination any thing else
429,0,at esplanade do ü mind giving me a lift cos i got no car today
430,0,i wnt to buy a bmw car urgentlyits vry urgentbut hv a shortage of ltgt lacsthere is no source to arng dis amt ltgt lacsthats my prob
431,0,at home watching tv lor
432,0,does she usually take fifteen fucking minutes to respond to a yes or no question
433,1,congrats nokia video camera phone is your call calls cost ppm ave call mins vary from mobiles close post bcm ldn wcnxx
434,0,booked ticket for pongal
435,0,you available now im like right around hillsborough amp ltgt th
436,0,the message sent is askin for ltgt dollars shoul i pay ltgt or ltgt
437,0,ask g or iouri ive told the story like ten times already
438,0,how long does applebees fucking take
439,0,hi hope u get this txtjourney hasnt been gdnow about mins late i think
440,0,but i have to i like to have love and arrange
441,0,yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out
442,0,you were supposed to wake me up gt
443,0,oic i saw him too but i tot he din c me i found a group liao
444,0,sorry ill call later
445,0,hey hey werethe monkeespeople say we monkeyaround howdy gorgeous howu doin foundurself a jobyet sausagelove jen xxx
446,0,sorry my battery died i can come by but im only getting a gram for now wheres your place
447,0,well done blimey exercise yeah i kinda remember wot that is hmm
448,0,i wont get concentration dear you know you are my mind and everything
449,0,lol have you made plans for new years
450,0,min later k
451,0,hanks lotsly
452,0,thanks for this hope you had a good day today
453,0,kkwhat are detail you want to transferacc no enough
454,0,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month
455,1,loan for any purpose £ £ homeowners tenants welcome have you been previously refused we can still help call free or text back help
456,0,si si i think ill go make those oreo truffles
457,0,look at amy ure a beautiful intelligent woman and i like u a lot i know u dont like me like that so dont worry
458,0,i hope you thats the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl
459,0,that call cost which i guess isnt bad miss ya need ya want ya love ya
460,0,going thru a very different feelingwavering decisions and coping up with the same is the same individualtime will heal everything i believe
461,0,where did u go my phone is gonna die you have to stay in here
462,0,great never been better each day gives even more reasons to thank god
463,1,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on offer ends th july tcs apply optout available
464,0,sorry ill call later ok bye
465,0,ok i am on the way to railway
466,0,great princess i love giving and receiving oral doggy style is my fave position how about you i enjoy making love ltgt times per night
467,0,they dont put that stuff on the roads to keep it from getting slippery over there
468,0,when are you going to ride your bike
469,0,yup no need ill jus wait e rain stop
470,0,there are many company tell me the language
471,1,okmail dear dave this is your final notice to collect your tenerife holiday or cash award call from landline tcs sae box cwwx ppm
472,0,how long has it been since you screamed princess
